Input00Weight,Input01Weight,Input02Weight,Input10Weight,Input11Weight,Input12Weight,InputBias00Weight,InputBias01Weight,InputBias02Weight,Hidden000Weight,Hidden010Weight,Hidden020Weight,Hidden0Bias0Weight,Expected,Learned,Error
-350,215,-377,-332,245,-68,108,40,-243,-98,261,-94,-121,256,194,15
-354,214,-380,-337,246,-72,105,35,-244,-109,262,-99,-121,256,184,20
-359,216,-384,-341,245,-75,100,34,-246,-122,266,-109,-115,256,191,16
-363,216,-387,-344,244,-78,91,43,-251,-126,269,-124,-101,0,-46,8
-363,216,-387,-344,244,-78,91,43,-251,-126,269,-124,-101,0,-10,0
-367,217,-391,-347,242,-81,84,47,-256,-132,272,-136,-92,256,217,5
-367,217,-391,-347,242,-81,84,47,-256,-132,272,-136,-92,0,15,0
-370,216,-394,-350,239,-84,79,48,-260,-128,264,-135,-97,0,237,219
-370,216,-394,-350,239,-84,79,48,-260,-128,264,-135,-97,0,14,0
-370,216,-394,-350,239,-84,79,48,-260,-128,264,-135,-97,0,14,0
-370,216,-394,-350,239,-84,79,48,-260,-128,264,-135,-97,0,14,0
-370,216,-394,-350,239,-84,79,48,-260,-128,264,-135,-97,0,14,0
-374,215,-398,-353,236,-87,74,48,-264,-129,261,-138,-98,256,222,4
-378,213,-402,-356,233,-90,69,48,-268,-132,259,-142,-98,256,222,4
-381,210,-405,-359,229,-93,65,47,-271,-127,248,-137,-108,0,236,217
-384,207,-408,-363,227,-97,61,47,-275,-129,243,-139,-110,256,214,6
-388,205,-412,-366,225,-100,57,47,-279,-133,241,-143,-110,256,216,6
-388,205,-412,-366,225,-100,57,47,-279,-133,241,-143,-110,0,15,0
-388,205,-412,-366,225,-100,57,47,-279,-133,241,-143,-110,0,15,0
-391,201,-415,-369,221,-103,54,45,-282,-126,229,-136,-122,0,232,210
-391,201,-415,-369,221,-103,54,45,-282,-126,229,-136,-122,0,-2,0
-395,199,-419,-372,218,-106,50,45,-286,-128,225,-139,-124,256,207,9
-395,199,-419,-372,218,-106,50,45,-286,-128,225,-139,-124,0,0,0
-398,195,-422,-375,213,-109,47,42,-289,-117,209,-129,-139,0,225,197
-401,192,-425,-380,211,-113,42,42,-293,-121,206,-133,-140,256,184,20
-405,191,-429,-384,209,-116,37,43,-297,-130,208,-143,-135,256,189,17
-408,189,-432,-388,209,-120,32,45,-301,-142,212,-155,-128,256,197,13
-411,185,-435,-391,206,-123,28,44,-304,-137,202,-150,-138,0,227,201
-415,183,-439,-394,204,-126,24,44,-308,-141,200,-154,-138,256,202,11
-418,179,-442,-397,200,-129,21,41,-311,-130,185,-143,-153,0,222,192
-422,179,-446,-400,197,-132,17,42,-315,-134,182,-148,-153,256,183,20
-422,179,-446,-400,197,-132,17,42,-315,-134,182,-148,-153,0,-10,0
-422,179,-446,-400,197,-132,17,42,-315,-134,182,-148,-153,0,-10,0
-425,178,-449,-404,196,-136,13,43,-319,-144,185,-159,-146,256,185,19
-428,177,-452,-408,195,-140,9,44,-323,-156,189,-172,-138,256,198,13
-431,175,-455,-411,193,-143,10,38,-325,-164,189,-174,-142,0,32,4
-434,173,-458,-415,192,-147,8,36,-328,-172,191,-180,-141,256,212,7
-437,171,-461,-418,190,-150,12,28,-330,-178,190,-178,-150,0,31,3
-440,167,-464,-421,186,-153,13,21,-332,-171,178,-167,-167,0,229,204
-443,161,-467,-424,180,-156,13,13,-334,-155,157,-148,-192,0,219,187
-446,153,-470,-427,172,-159,13,4,-336,-126,125,-118,-229,0,189,139
-449,148,-473,-434,180,-164,9,11,-340,-151,132,-144,-207,256,69,136
-452,144,-476,-441,189,-169,5,19,-344,-183,146,-177,-178,256,136,56
-452,144,-476,-441,189,-169,5,19,-344,-183,146,-177,-178,0,-17,1
-455,138,-479,-446,190,-173,2,20,-347,-185,138,-180,-180,0,213,177
-459,136,-483,-450,190,-176,-2,22,-351,-195,137,-193,-173,256,190,17
-462,132,-486,-453,188,-179,-5,21,-354,-187,122,-187,-186,0,220,189
-462,132,-486,-453,188,-179,-5,21,-354,-187,122,-187,-186,0,-9,0
-466,131,-490,-456,187,-182,-9,22,-358,-192,117,-193,-185,256,187,18
-469,127,-493,-459,183,-185,-12,19,-361,-178,98,-179,-204,0,210,172
-472,124,-496,-463,182,-189,-16,19,-365,-185,95,-186,-202,256,167,30
-476,124,-500,-466,180,-192,-20,21,-369,-201,97,-202,-191,256,170,28
-479,123,-503,-470,179,-196,-24,23,-373,-216,100,-217,-180,256,196,14
-482,122,-506,-474,177,-200,-28,24,-377,-229,103,-230,-172,256,211,7
-485,120,-509,-477,175,-203,-18,17,-378,-236,102,-225,-184,0,65,16
-488,118,-512,-481,173,-207,-15,13,-381,-244,102,-227,-188,256,218,5
-492,116,-516,-484,171,-210,-15,10,-385,-252,102,-231,-189,256,216,6
-495,114,-519,-488,169,-214,-16,7,-389,-259,103,-236,-189,256,222,4
-499,112,-523,-491,167,-217,-18,4,-393,-267,103,-243,-188,256,221,4
-503,110,-527,-494,165,-220,-21,1,-397,-274,103,-250,-187,256,225,3
-506,108,-530,-497,163,-223,-9,-8,-398,-278,103,-242,-202,0,61,14
-509,106,-533,-501,161,-227,-5,-14,-401,-283,103,-241,-209,256,226,3
-513,104,-537,-504,159,-230,-4,-18,-405,-290,103,-244,-212,256,221,4
-517,102,-541,-507,157,-233,-5,-21,-409,-297,103,-248,-213,256,222,4
-521,100,-545,-510,155,-236,-7,-24,-413,-304,103,-253,-214,256,224,4
-524,96,-548,-513,151,-239,-9,-29,-416,-300,96,-248,-226,0,235,215
-528,93,-552,-516,148,-242,-12,-33,-420,-302,92,-250,-231,256,220,5
-531,87,-555,-519,142,-245,-15,-39,-423,-292,81,-240,-247,0,230,206
-534,80,-558,-522,135,-248,-18,-46,-426,-274,64,-222,-271,0,220,189
-537,75,-561,-525,130,-251,-36,-48,-431,-266,51,-226,-271,0,-57,12
-540,67,-564,-528,122,-254,-46,-54,-435,-240,30,-206,-295,0,189,139
-544,64,-568,-531,117,-257,-54,-56,-439,-250,19,-221,-284,256,130,62
-548,62,-572,-534,113,-260,-60,-57,-443,-270,11,-245,-265,256,154,40
-551,60,-575,-538,110,-264,-65,-59,-447,-289,7,-266,-249,256,188,18
-554,58,-578,-542,107,-268,-70,-61,-451,-305,4,-283,-237,256,210,8
-558,56,-582,-545,104,-271,-75,-63,-455,-317,0,-296,-228,256,222,4
-561,54,-585,-548,101,-274,-52,-65,-455,-318,2,-283,-248,0,125,61
-564,52,-588,-552,98,-278,-43,-67,-457,-322,2,-280,-256,256,222,4
-567,50,-591,-556,95,-282,-39,-69,-459,-328,2,-282,-260,256,221,4
-570,48,-594,-560,92,-286,-38,-71,-462,-334,2,-285,-261,256,222,4
-573,46,-597,-564,89,-290,-39,-73,-466,-340,2,-290,-262,256,224,4
-576,44,-600,-568,86,-294,-41,-75,-470,-346,2,-296,-263,256,226,3
-579,42,-603,-572,83,-298,-44,-77,-474,-352,2,-302,-264,256,228,3
-582,39,-606,-575,79,-301,-47,-80,-477,-346,0,-296,-277,0,231,208
-585,36,-609,-578,76,-304,-50,-83,-480,-332,-3,-282,-298,0,226,199
-589,32,-613,-581,73,-307,-54,-87,-484,-329,-7,-279,-307,256,213,7
-592,29,-616,-585,69,-311,-58,-91,-488,-332,-11,-282,-310,256,208,9
-596,25,-620,-588,66,-314,-62,-95,-492,-338,-15,-288,-310,256,210,8
-599,22,-623,-591,63,-317,-65,-98,-495,-326,-18,-276,-328,0,214,178
-602,20,-626,-594,61,-320,-68,-100,-498,-302,-20,-252,-357,0,199,154
-605,18,-629,-597,59,-323,-80,-103,-502,-292,-25,-248,-367,0,-31,3
-608,16,-632,-600,57,-326,-96,-107,-506,-289,-32,-253,-367,0,-32,4
-608,16,-632,-600,57,-326,-96,-107,-506,-289,-32,-253,-367,0,-10,0
-611,14,-635,-604,52,-330,-106,-113,-510,-305,-41,-273,-351,256,151,43
-615,10,-639,-607,48,-333,-113,-119,-514,-322,-51,-293,-335,256,185,19
-618,7,-642,-611,44,-337,-119,-124,-518,-337,-59,-310,-322,256,207,9
-621,7,-645,-614,44,-340,-123,-125,-521,-333,-61,-307,-330,0,221,190
-624,9,-648,-617,46,-343,-126,-124,-524,-317,-59,-293,-350,0,217,183
-627,10,-651,-620,47,-346,-109,-122,-526,-300,-50,-266,-382,0,96,36
-630,14,-654,-623,51,-349,-102,-117,-528,-267,-40,-229,-425,0,162,102
-634,10,-658,-626,53,-352,-99,-121,-531,-291,-51,-251,-409,256,78,123
-637,8,-661,-629,54,-355,-107,-125,-535,-305,-61,-269,-395,0,-37,5
-640,11,-664,-632,59,-358,-111,-123,-538,-290,-62,-256,-412,0,160,100
-640,11,-664,-632,59,-358,-111,-123,-538,-290,-62,-256,-412,0,-20,1
-643,11,-667,-636,55,-362,-115,-129,-542,-308,-70,-276,-398,256,130,62
-646,11,-670,-639,53,-365,-111,-131,-545,-314,-72,-279,-401,0,29,3
-650,8,-674,-642,51,-368,-111,-136,-549,-330,-79,-294,-393,256,176,25
-654,4,-678,-645,49,-371,-112,-142,-553,-345,-87,-309,-384,256,196,14
-657,1,-681,-649,45,-375,-114,-148,-557,-358,-94,-322,-377,256,209,8
-660,2,-684,-652,46,-378,-116,-148,-560,-352,-94,-316,-389,0,220,189
-663,6,-687,-655,50,-381,-118,-144,-563,-334,-89,-298,-412,0,213,177
-667,6,-691,-658,52,-384,-121,-144,-567,-332,-91,-296,-419,256,195,14
-670,6,-694,-661,53,-387,-109,-141,-570,-324,-85,-280,-440,0,62,15
-673,6,-697,-665,48,-391,-105,-145,-574,-335,-88,-287,-437,256,158,37
-676,6,-700,-669,41,-395,-104,-151,-578,-353,-95,-302,-427,256,173,26
-679,6,-703,-673,34,-399,-105,-157,-582,-369,-103,-317,-416,256,196,14
-683,5,-707,-676,29,-402,-107,-162,-586,-382,-110,-329,-409,256,217,5
-686,8,-710,-679,29,-405,-109,-162,-589,-377,-109,-323,-420,0,224,196
-689,12,-713,-682,32,-408,-111,-159,-592,-361,-104,-306,-442,0,218,185
-692,20,-716,-685,39,-411,-113,-152,-595,-333,-94,-278,-475,0,197,151
-695,24,-719,-689,36,-415,-116,-155,-599,-337,-97,-282,-476,256,147,46
-695,24,-719,-689,36,-415,-116,-155,-599,-337,-97,-282,-476,0,-6,0
-698,34,-722,-692,42,-418,-119,-149,-602,-314,-91,-259,-505,0,149,86
-701,39,-725,-696,33,-422,-123,-158,-606,-340,-103,-285,-486,256,93,103
-704,41,-728,-700,22,-426,-127,-169,-610,-369,-117,-314,-463,256,154,40
-707,49,-731,-703,22,-429,-130,-169,-613,-366,-117,-311,-472,0,196,150
-710,53,-734,-706,21,-432,-116,-166,-616,-360,-109,-297,-493,0,69,18
-713,64,-737,-709,29,-435,-110,-156,-619,-333,-97,-266,-530,0,164,105
-716,69,-740,-713,22,-439,-108,-161,-623,-353,-107,-284,-519,256,101,93
-719,71,-743,-716,18,-442,-119,-167,-627,-366,-118,-302,-508,0,-40,6
-719,71,-743,-716,18,-442,-119,-167,-627,-366,-118,-302,-508,0,13,0
-723,66,-747,-719,15,-445,-126,-177,-631,-389,-130,-327,-490,256,164,33
-726,71,-750,-722,20,-448,-131,-175,-634,-383,-130,-323,-501,0,198,153
-730,68,-754,-725,21,-451,-136,-179,-638,-389,-134,-330,-499,256,191,16
-733,66,-757,-728,21,-454,-118,-175,-641,-383,-125,-315,-519,0,88,30
-736,64,-760,-732,18,-458,-111,-177,-645,-389,-127,-317,-521,256,187,18
-739,62,-763,-735,16,-461,-100,-177,-648,-390,-125,-313,-530,0,24,2
-742,69,-766,-738,23,-464,-95,-169,-651,-369,-117,-289,-560,0,174,118
-745,80,-769,-741,34,-467,-93,-156,-654,-337,-107,-254,-600,0,117,53
-745,80,-769,-741,34,-467,-93,-156,-654,-337,-107,-254,-600,0,4,0
-748,85,-772,-744,39,-470,-121,-158,-658,-329,-116,-261,-598,0,-151,89
-751,87,-775,-747,41,-473,-160,-167,-662,-334,-134,-287,-577,0,-122,58
-754,88,-778,-751,27,-477,-183,-188,-666,-372,-160,-336,-533,256,95,101
-758,83,-782,-754,20,-480,-199,-205,-670,-401,-179,-372,-501,256,182,21
-761,88,-785,-757,23,-483,-209,-208,-673,-405,-186,-380,-498,0,220,189
-764,89,-788,-761,22,-487,-216,-213,-677,-410,-193,-388,-495,256,233,2
-764,89,-788,-761,22,-487,-216,-213,-677,-410,-193,-388,-495,256,236,1
-767,96,-791,-764,28,-490,-221,-210,-680,-403,-194,-382,-506,0,228,203
-770,99,-794,-767,30,-493,-210,-203,-683,-388,-184,-362,-531,0,204,162
-773,113,-797,-770,44,-496,-206,-187,-686,-362,-175,-333,-565,0,198,153
-776,136,-800,-773,67,-499,-204,-163,-689,-325,-169,-294,-609,0,130,66
-779,147,-803,-777,51,-503,-204,-177,-693,-352,-183,-320,-589,256,63,145
-782,163,-806,-780,54,-506,-204,-173,-696,-350,-192,-317,-597,0,62,15
-785,171,-809,-783,54,-509,-194,-166,-699,-342,-190,-305,-614,0,57,12
-788,176,-812,-787,33,-513,-190,-184,-703,-372,-204,-333,-591,256,99,96
-792,153,-816,-790,22,-516,-189,-218,-707,-418,-212,-378,-552,256,107,86
-795,156,-819,-793,29,-519,-189,-222,-710,-424,-214,-384,-552,0,201,157
-798,155,-822,-797,30,-523,-190,-228,-714,-431,-217,-391,-549,256,231,2
-802,152,-826,-800,30,-526,-192,-234,-718,-439,-221,-399,-546,256,219,5
-806,147,-830,-803,30,-529,-195,-240,-722,-446,-225,-406,-544,256,225,3
-809,153,-833,-806,40,-532,-198,-234,-725,-439,-225,-399,-556,0,226,199
-812,169,-836,-809,59,-535,-201,-218,-728,-421,-224,-381,-579,0,214,178
-815,197,-839,-812,88,-538,-204,-190,-731,-389,-225,-349,-616,0,172,115
-818,212,-842,-816,93,-542,-208,-185,-735,-385,-231,-345,-625,256,168,30
-822,182,-846,-819,96,-545,-212,-220,-739,-423,-231,-383,-591,256,73,130
-825,167,-849,-822,97,-548,-196,-228,-742,-427,-217,-380,-598,0,185,133
-829,151,-853,-825,97,-551,-190,-241,-746,-439,-212,-389,-594,256,193,15
-832,161,-856,-828,116,-554,-186,-230,-749,-424,-211,-372,-616,0,180,126
-836,158,-860,-831,125,-557,-185,-233,-753,-427,-214,-374,-619,256,183,20
-839,175,-863,-834,149,-560,-185,-216,-756,-406,-221,-351,-647,0,124,60
-839,175,-863,-834,149,-560,-185,-216,-756,-406,-221,-351,-647,0,17,1
-839,175,-863,-834,149,-560,-185,-216,-756,-406,-221,-351,-647,0,17,1
-842,182,-866,-837,161,-563,-165,-200,-759,-385,-212,-321,-683,0,96,36
-845,186,-869,-841,127,-567,-156,-232,-763,-424,-217,-355,-653,256,48,169
-848,188,-872,-844,110,-570,-130,-240,-766,-434,-207,-353,-660,0,80,25
-851,201,-875,-847,110,-573,-117,-234,-769,-426,-207,-339,-680,0,73,20
-851,201,-875,-847,110,-573,-117,-234,-769,-426,-207,-339,-680,0,20,1
-855,180,-879,-850,108,-576,-111,-259,-773,-457,-212,-366,-658,256,99,96
-858,169,-882,-854,103,-580,-109,-276,-777,-479,-218,-386,-644,256,200,12
-861,161,-885,-858,98,-584,-109,-288,-781,-494,-224,-400,-635,256,223,4
-865,154,-889,-861,94,-587,-110,-298,-785,-506,-229,-411,-630,256,226,3
-865,154,-889,-861,94,-587,-110,-298,-785,-506,-229,-411,-630,256,238,1
-868,162,-892,-864,104,-590,-111,-291,-788,-498,-231,-403,-644,0,218,185
-871,165,-895,-867,108,-593,-74,-282,-791,-486,-214,-376,-676,0,130,66
-874,186,-898,-870,130,-596,-57,-258,-794,-456,-207,-339,-718,0,160,100
-877,196,-901,-874,129,-600,-48,-258,-798,-460,-212,-339,-723,256,146,47
-880,202,-904,-878,117,-604,-44,-269,-802,-480,-224,-356,-711,256,147,46
-883,205,-907,-882,104,-608,-43,-281,-806,-499,-236,-373,-698,256,187,18
-887,198,-911,-885,96,-611,-44,-296,-810,-520,-246,-393,-684,256,185,19
-890,194,-914,-889,90,-615,-46,-306,-814,-534,-253,-406,-676,256,231,2
-893,191,-917,-892,86,-618,-33,-310,-817,-542,-252,-408,-680,0,31,3
-897,186,-921,-895,83,-621,-29,-315,-821,-549,-254,-412,-681,256,229,2
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,232,2
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,242,0
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,235,1
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,242,0
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,235,1
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,0,8,0
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,0,8,0
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,242,0
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,256,235,1
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,0,8,0
-901,181,-925,-898,80,-624,-28,-320,-825,-555,-256,-416,-682,0,8,0
-904,190,-928,-901,90,-627,-28,-311,-828,-546,-255,-406,-698,0,222,192
-907,211,-931,-904,112,-630,-28,-290,-831,-524,-254,-383,-727,0,203,160
-910,244,-934,-907,146,-633,-28,-257,-834,-489,-257,-348,-768,0,129,65
-914,219,-938,-910,164,-636,-29,-282,-838,-513,-262,-372,-750,256,74,129
-918,194,-942,-913,175,-639,-31,-307,-842,-537,-270,-396,-730,256,162,34
-921,179,-945,-916,181,-642,-56,-326,-846,-553,-285,-421,-708,0,-46,8
-924,194,-948,-919,209,-645,-70,-313,-849,-541,-297,-414,-719,0,180,126
-927,200,-951,-922,223,-648,-43,-303,-852,-532,-289,-395,-743,0,81,25
-930,203,-954,-926,224,-652,-32,-305,-856,-534,-288,-392,-750,256,197,13
-933,204,-957,-929,224,-655,-54,-311,-860,-537,-300,-404,-743,0,-56,12
-937,200,-961,-932,224,-658,-66,-319,-864,-543,-308,-413,-738,256,214,6
-940,198,-964,-935,224,-661,-44,-319,-867,-544,-300,-404,-752,0,66,17
-940,198,-964,-935,224,-661,-44,-319,-867,-544,-300,-404,-752,0,-5,0
-940,198,-964,-935,224,-661,-44,-319,-867,-544,-300,-404,-752,0,-5,0
-940,198,-964,-935,224,-661,-44,-319,-867,-544,-300,-404,-752,0,-5,0
-943,212,-967,-938,240,-664,-34,-304,-870,-530,-304,-385,-776,0,74,21
-946,218,-970,-941,248,-667,-62,-304,-874,-527,-320,-393,-773,0,-72,20
-949,221,-973,-945,239,-671,-77,-318,-878,-538,-332,-408,-763,256,172,27
-953,217,-977,-948,234,-674,-88,-330,-882,-548,-341,-421,-755,256,209,8
-956,229,-980,-951,244,-677,-95,-323,-885,-541,-354,-416,-765,0,57,12
-959,234,-983,-955,242,-681,-101,-327,-889,-543,-364,-419,-766,256,208,9
-963,232,-987,-958,241,-684,-106,-333,-893,-547,-371,-424,-766,256,216,6
-966,231,-990,-962,235,-688,-111,-341,-897,-553,-377,-431,-765,256,218,5
-969,229,-993,-966,229,-692,-116,-348,-901,-559,-382,-438,-764,256,226,3
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,232,2
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,236,1
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,236,1
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,236,1
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,236,1
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,236,1
-973,225,-997,-969,225,-695,-121,-355,-905,-564,-387,-444,-763,256,236,1
